EMPRESA,NIT,MUNICIPIO,BIEN O SERVICIO,SECTOR,CORREO,REPRESENTANTE LEGAL,TELEFONO,DIRECCION
ASOCIACION ARTE Y JOYA Y ASOCIACION ARTE EN DAMAGUA,9002928969,QUIBDÓ,ARTESANIAS EN FIBRAS DE DAMAGUA Y CABECINEGRO BOLSOS,NO MADERABLES,leyova2@hotmail.com,LESLIE JOHANNA VALOYES CUESTA,3116406096,Carreraa 6 N° 27-60 sdo piso
ASOCIACION COMUNITARIA DE CONSERVACION CAGUAMA,No Reporta,BAHÍA SOLANO,CONSERVACION DE TORTUGAS,ECOTURISMO/TURISMO DE NATURALEZA,caguamaasociacion@gmail.com,EBLIN PEREZ CASTILLO,"3146772488 
3128975143","Barrio Centro, corregimiento El Valle"
ASOCIACIÓN DE BOROJOCEROS LA MANO DE DIOS -  AMAADIOS,901 027 687-5,ISTMINA,PRODUCCIÓN Y COMERCIALIZACIÓN DE BOROJÓ,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",juanumata@gmail.com,JESÚS AMADO ASPRILLA,314 616 26 57,Barrio San Agustin- sector Cachacal o Palacio Municipal Carrera 8ta Numero 19-03- Oficina de UMATA
"ASOCIACION DE CONCEJO COMUNITARIO GENERAL LOS RISCALES ""CIRCUITO ALTERNATIVO LA CUMBANCHA""",8180018197,NUQUÍ,TURISMO ECOLOGICO Y DE NATURALEZA,ECOTURISMO/TURISMO DE NATURALEZA,accglosriscalesnuqui@gmail.com,WENCESLADO POTES HURTADO,"3136558074

3146636593",Barrio la union
ASOCIACIÓN DE MUJERES AFROCOLOMBIANAS DE PIZARRO - AMAPI,9000511929,BAJO BAUDÓ,ELEVORACION DE EMBUTIDOS(PESCADO)ANTIPASTO AHUMADOS CON ESPECIES NATIVA DE FLORA Y FAUNA,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,norma.ibarguen@gmail.com,NORMA GRACIELA IBARGUEN GAMBOA,3213395649 - 3207053298,Barrio Santander Casa de Norma Ibarguen
ASOCIACION DE MUJERES AFROLOCOLMBIANAS HIJAS DE YEMAYÁ,8305044473,QUIBDÓ,Artesanías,NO MADERABLES,idalafro@yahoo.es - hijasdeyemaya@jmail.com,IDALMY MINOTTA TERAN,3218525942,CALLE 27 # 7-44 Barrio Silencio
ASOCIACIÓN DE MUJERES AHUMADORAS DE PESCADO BRISAS DEL MAR,26367282,BAHÍA SOLANO,"ELABORACIÓN DE CHORIZOS DE ATÚN AHUMADA, HAMBURGUESAS DE Y FILITES DE ATÚN",PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,No Reporta,MARIA SALLY LEMUS MEDINA,3116214677-3135625303,Barrio Oneti Viejo
ASOCIACIÓN DE MUJERES ARTESANAS DE COLOMBIA,900316428-0,EL CARMEN DE ATRATO,Artesanías de la región,NO MADERABLES,mujeresartesanas7@hotmail.com,LUZ DARY CASTAÑEDA RESTREPO,314 759 33 99,No Reporta
ASOCIACIÓN DE MUJERES CAMPESINAS DE YUTO,818001312-5,ATRATO,"ELABORACIÓN DE COCADAS, CUCAS Y BIOPRODUCTOS (JARABES, CREMAS PARA LA PIEL, JABÓN)",NO MADERABLES,No Reporta,CARLINA PALACIOS,3104447186,No Reporta
ASOCIACIÓN DE MUJERES PARA EL MERCADO DEL PESCADO-MASMEPEZ,818000352-5,BAHÍA SOLANO,EMPRESA DEDICADA A LA PRODUCIÒN DE HIELOS EN BLOQUES PARA EL MANTENIMIENTO DE LA CADENA DE FRIO DE LOS PESCADORES ARTESANALES,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,masmepez95@hotmail.com,GLORIA ERMENCIA LOZANO,3147728598,No Reporta
ASOCIACIÒN DE MUJERES VICTIMA DEL DESPLAZAMIENTO DE BAHIA SOLANO - ASOMUVIB,900671520-1,BAHÍA SOLANO,PRODUCCIÓN Y COMERCIALIZACIÓN DE BEBIDAS ANCESTRALES,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",asomuvib@hotmail.com,ELIZABETH MEDINA ALBARES,3105418155,Finca Los Cedro
ASOCIACIÓN DE PESCADORES ARTESANALES DEL MANA,818001892-5,BAHÍA SOLANO,ASOCIACIÒN DEDICADA A LA ELABORACIÓN DE CHORIZOS A BASE DE LOMO DE ATÚN Y REALIZACIÓN DE PESCA RESPONSABLE,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,robinolaya43@gmail.com,ROBINSON OLAYA,3209438080,"Bahía Solano, Barrio Floresta"
ASOCIACIÓN DE PESCADORES ARTESANALES DEL NORTE - ASPENOR,901 235 144-1,BAHÍA SOLANO,PESCA RESPONSABLE,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",lolis2031@hotmail.com,GUSTAVO MOSQUERA,312 531 98 87,Bahía Solano -Barrio Poblado- no nomenclatura
ASOCIACIÓN DE PESCADORES ARTESANALES DEL VALLE CHOCO - LOS PIQUEROS,8180016570,BAHÍA SOLANO,TRANSFORMACION Y COMERCIALIZACION DE PESCADO AHUMADOY EMBUTIDOS FRESCOS,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,"piqueros.delvalle@gmail.com, osoriosaz2012@gmai.com",BISMAR LOPEZ PINILLA,3126954443 - 3113855550,Barrio primero de mayo
ASOCIACIÓN DE PROCESADORES DE PRODUCTOS PESQUEROS-SABOR A MAR,900088346-6,BAHÍA SOLANO,"ELABORACIÓN DE CHORIZOS DE ATÚN, CARNES PARA HAMBURGUESAS DE ATÚN, NUNGGUES  Y LONGANIZAS DE ATÚN",PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,Azita2007@hotmail.com,AÑADIRÁ PÉREZ SERNA,3117584829,Barrio Fillocastro
ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS DEL DARIÉN - ASOPRODA,90026278,UNGUÍA,PRODUCCION Y COMERCIALIZACION DE CACAO.,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",kedimakle@gmail.com,MARISOL MACHADO MOSQUERA,3135297488,"calle principal, unguía"
ASOCIACIÓN DE PRODUCTORES DE CACAO DE DOÑA JOSEFA-ASOCASEFA,9010780390,ATRATO,PRODUCCIÓN Y COMERCIALIZACIÓN DE CACAO,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",asocasefa@fundaciónchonto.com,ADONIESIS SERNA HINESTROZA,3233897044,calle 18 -  6 - 57 barrio niño jesus
"ASOCIACION DE PRODUCTORES DE CACAO DEL MUNICIPIO DE QUIBDÓ  ""ASOPROCAQ""",900895150-1,QUIBDÓ,"EMPRESAS DEDICADA A LA COMPRA, TRANSFORMACION PRIMARIA Y COMERCIALIZACION DE CACAO.",OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,rupertomoreno456@gmail.com,RUPERTO MORENO MARTINEZ,3145679569 - 3205549555,Plaza de mercado segundo piso local 302
ASOCIACION DE PRODUCTORES DEL ATRATO ASPRODEMA,9002714056,QUIBDÓ,PRODUCCION Y COMERCIALIZACION DE DE ARROZ,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,domingamebajaro@yahoo.es,DOMINGA BEJARANO DE MORENO,"3105458830
3105940447","Carrera 3, N° 23-26 COCOMACIA"
ASOCIACIÓN DE PRODUCTORES TRADICIONALES DE  ARROZ DEL  BAUDO,901 221 662-2,MEDIO BAUDÓ,PRODUCCIÓN Y COMERCIALIZACIÓN DE ARROZ,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",genarom@live.com,BENJAMIN PALACIOS POTES,314 628 64 87,Municipio de Medio Baudó- Cabecera Puerto Meluk - Calle Principal
ASOCIACIÓN ECOTURISTICA Y CULTURAL CHAMPA MÍA,900876376-8,EL CARMEN DE ATRATO,OFRECE SERVICIO DE TURISMO ACUATICO,ECOTURISMO/TURISMO DE NATURALEZA,eugeniovaloyes@hotmail.com,EUGENIO VALOYES MORENO,323 407 68 60,Carrera 1 Edficio Inspección Fluvial - Casa de la Juventud
ASOCIACION MUJERES CONSTRUYENDO UN PORVENIR,901 297 567-7,EL CARMEN DE ATRATO,Procesamiento y comercialización de Pulpas de frutas de la región,ALIMENTARIO,maricorrea0275@gmail.com,MARISBEY CORREA MUÑOZ,310 447 53 14,Municipio de El Carmen de Atrato -Barrio la Paz- sin nomenclatura
ASOCIACIÓN MUJERES POR UNA VIDA DIGNA Y SOLIDARIA-TESORO DE LA SELVA,9002338168,QUIBDÓ,"BIOCOSMETICO (JABONES DE YERBA BUENA , MENTA, RUDA, ALBACA Y POMADAS)",NO MADERABLES,yearega1975@hotmail.com,CONCEPCIÓN RENTERÍA,(572) 6274873 - 3104309985,Carrera 28 No. 24-50
ASOCIACION OQUEGUA,No Reporta,BAHÍA SOLANO,ARTESANIAS EN CHAQUIRASY BISUTERIA CON PRODUCTOR RECICLAJE.,NO MADERABLES,oquegua@gmail.com,LUIS FERNANDO ASPRILLA ANDRADES,3215240148,Corregimiento El Valle
ASOCIACIÓN VAMOS MUJERES,8180022296,QUIBDÓ,PRODUCCION DE HARIAN DE POPOCHO,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,marygamboa@misena.edu.co,BENILDA GAMBOA DE CÓRDOBA,"3127285710
3203555003",Ichó
ASOJOYEROS,9004245772,QUIBDÓ,"ELABORACION DE JOYAS EN ORO Y COMERCIALIZACION DE ARTESANIAS EN FIBRAS DE MADERA , DAMAGUA Y CABECINEGRO.",NO MADERABLES,asojoch_artesaniasdelchoco@hotmail.com,MAGDA RODRÍGUEZ FLÓREZ,3116042928,estand #3 - aeropuerto el caraño de Quibdó
ASOLPALMAR,9001833677,SAN JOSÉ DEL PALMAR,TRANAFORMACION Y COMERCIALIZACION DE CACAO EN BARRA COCOVAD O (SAN JOSE DEL PALMAR),"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",nuestra.herencia@gmail.com,MARIO MOSQUERA VIVEROS,3207875463,"Avenida Quibdó, centro de acopio"
BAHÍA VIVA S.A.S  - (MADRE AGUA),901 090 684-1,BAHÍA SOLANO,ECOTURISMO,ECOTURISMO/TURISMO DE NATURALEZA,madreaguaeco@gmail.com,JOHN JAIRO DUQUE GARCIA,310 525 00 23,Carrera  35 a- número 77 sur- 113 Apto 2006- Sabaneta Antioquia
BEBIDAS AFRODISIACAS YOVA,35604369-2,QUIBDÓ,PRODUCCIÓN Y COMERCIALIZACIÓN DE BEBIDAS ANCESTRALES,NO MADERABLES,yovamurillo57@gmail.com,GIOVANNI MURILLO MOSQUERA,314 771 22 40,Carrera 2 # 31-75
BOCADITOS DOÑA BETTY,891600003,QUIBDÓ,"ELABORACION DE COCADAS CON SABOR A PAPAYA , JENGIBRE, LULO, CAFÉ Y GALLETAS","SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",No Reporta,BETTY AMPARO MORENO MORENO,"3137256477
3137256477",Carreraa 22 # 18 - 97
BORONAY,1170760-2,ISTMINA,SE DEDICA A LA ELABORACIÓN DE PRODUCTOS A BASE DE BOROJO.,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",boronaygonzalo@gmail.com,ARIEL GONZALO FIGUEROA,3185828684,Frente a la Terminal Istmina
CABAÑA DARIUS,3268615067,ACANDÍ,"ECOTURISMO (HOSPEDAJE ALIMENTACION, TALLERES DE PINTURA Y HUERTAS ORGANICAS )",ECOTURISMO/TURISMO DE NATURALEZA,reservas@dariuscapurgana.com,NERY LUZ HOYOS,3103977768 - 3146225638,"sector plan parejo, Capurganá"
"CACOVA- CACAO COCO, VAINILLA Y ACHOTE",29 048 859-01,BAHÍA SOLANO,Producción y comercialización de vainilla y achote,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",No Reporta,FRANCSISCO ALEXIS GARCIA RIVAS,320 436 40 26,Corregimiento El Valle - Chocó
CÁCTUS Y PENCAS,4829888,EL CARMEN DE ATRATO,"CACTUS, CONEJOS, PENCAS, MIEL DE ABEJA",NO MADERABLES,No Reporta,RAUL RESTREPO RÍOS,311 646 52 60,Carmen de Atrato -Sector La Coqueta
CÁRNICOS LA PORTEÑA,901176960-1,EL CARMEN DE ATRATO,Chorizos de carne y de pollo,AGROINDUSTRIA SOSENIBLE,"eteldg79@gmail.com
 carnicolaporteña@gmail.com",ETELVINA DELGADO GARCÉS,313 750 75 17,Vereda La Mariela Km 2
CERVECERÍA ARTESANAL DEL CHOCÓ CADERONA,901197980-7,QUIBDÓ,EMPRESA QUE SE DEDICA A LA ELABORACION DE CERVEZAS FERMENTADAS,AGROINDUSTRIA SOSENIBLE -ALIMENTOS,cervezacaderona@gmail.com,VIVIANA ELOISA GÓMEZ RENGIFO,320 673 72 06,Carrera 9 # 17-11
CHOCÓ MESTIZO,542564356,QUIBDÓ,TRANSFORMACION DE CAFÉ ORGANICO,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,catedraeticaylegislacion@hotmail.com,LEXY DURÁN TORRES,311Froylan 3127415419,"Carrera 2 frente a bancolombia - Quibdó, chocó"
CHOIBA CHOCÓ,11935344,QUIBDÓ,EMPRESA DEDICADA A LA ELABORACIÒN DE ARTESANIAS COMO MUÑECAS EN TELAS RECICLADAS,MADERABLES,choibachoco7@gmail.com,JOSE FELIX MURILLO,3505553517,Calle 30# 13-72
CHORIZO DE PESCADO EL CACIQUE S.A.S,900828905-1,BAHÍA SOLANO,ELABORACIÒN DE CHORIZO CON ATÙN Y VENTA DE ATÙN AHUMADO,PRODUCTOS DERIVADOS DE LA FAUNA SILVESTRE,No Reporta,MANUEL SATURIO RIVAS,3226352812-3104991303,No Reporta
CONDIYA,54253842-7,QUIBDÓ,ELABORACIÓN Y TRANSFORMACION DE CONDIMENTOS O ADOBOS PARA LA PREPARACIÓN DE COMIDAS,NO MADERABLES,yafidcasas@hotmail.com,YAFID BONILLA CASAS,3104161398,Barrio san jose Calle 36 # 4-12
CONSEJO COMUNITARIO DE LAS COMUNIDADES NEGRAS DE LA CUENCA DEL RÍO TOLO Y ZONA COSTERA SUR,9003122191,ACANDÍ,SERVICIOS AMBIENTALES Y ECOTURISMO,ECOTURISMO/TURISMO DE NATURALEZA,cocomasur@gmail.com,AURELIANO CÓRDOBA BECERRA,3206646814,Calle las Flores
"CONSEJO COMUNITARIO MAYOR DEL ALTO SAN JUAN ""ASOCASAN""",8180006401,TADÓ,PRODUCCION Y COMERCIALIZACION DE ACHIOTE,NO MADERABLES,asocasan2001@hotmail.com,HEYLER SERBANDO MORENO PALACIOS,310 834 06 94,Carrera 9 N°4-46
CONSEJO COMUNITARIO RIO VALLE,900401740-8,BAHÍA SOLANO,PRODUCCIÓN Y COMERCIALIZACIÓN DE VAINILLA,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",paulohurtado44@yahoo.com,PAULO HURTADO RENTERÍA,314 798 01 96,Corregimiento del Valle Chocó
"CONSEJO LOCAL COMUNITARIO DE LAS COMUNIDADES NEGRAS, CORREGIMIENTO DE LA CALETA.",No Reporta,ACANDÍ,ECOTURISMO  - ALOJAMIENTO Y GUIANZA,ECOTURISMO/TURISMO DE NATURALEZA,dianahumus@gmail.com,FREDY ORTEGA CARRILLO,"3116937551 
3117726055",Corregimiento la Caleta
CONSERVAS DEL ATRATO,1004011499-4,QUIBDÓ,"PROCESAMIENTO Y COMERCIALIZACIÓN DE ANTIPASTOS DE PESCADOS Y POLLO, CON LAS FRUTAS TÍPICAS DE LA REGIÓN  SE ELABORAN DUCES.",OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,yeudy-ki@hotmail.com,JHONATAN SMITH CORDOBA ROMAÑA,3217195457 - 3207513624,Carreraa 6  entre calles 29 y 30 Barrio  Cesar Conto
COOPERACIÓN DE PRODUCCIÓN AGROFORESTAL ORGÁNICA-COOPROAFOR,900913036-8,ATRATO,"PRODUCCIÓN Y ELABORACIÓN DE ABONO ORGÁNICO TIPO COMPOST , PRODUCCIÓN Y COMERCIALIZACIÓN DE ESPECIES FORESTALES, FRUTALES, MULTIPROPOSITO Y ESPECIES RECUPERADORAS.","SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",solucionesaaf@gmail.com,BEIMAR URRITIA MOSQUERA,3126480247,Carrera 10 #27-21
COOPERATIVA AGROINDUSTRIAL DE QUIBDÓ,900991903-1,QUIBDÓ,ELABORACIÓN Y TRANSFORMACIÓN  DE HARINAS DE ACHÍN   PARA LA FABRICACIÓN DE PRODUCTOS DE PANADERÍA,NO MADERABLES,fideliacasas@gmail.com,FIDELIA ANONIA CASA CUESTA,3136532441 - 3104161398,Barrio San Jose Calle 35 # 4-12
COOPERATIVA AGROINDUSTRIAL DEL MUNICIPIO DEL ALTO BAUDO -      COOAGROBAUDÓ,901198479-2,ALTO BAUDO,PRODUCCIÓN Y COMERCIALIZACIÓN DE PLÁTANO,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",gerencia@cooagrobaudo.org,JORGE ISAAC RIVAS HINESTROZA,311 799 29 14,PIE DE PATO
COOPERATIVA AGROINDUSTRIAL DEL VALLE - COOAGROINDUVALLE,9008825285,BAHÍA SOLANO,"PRODUCTOS MEDICINALES ELABOTADOS A BASE DE PLANTAS Y AGROSISTEMAS DE CACAO, ACHIOTE, VAINILLA","SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",junta.accion@gmail.com,PEDRO NOLASCO ALVARADO,3105166054,No registra
COOPERATIVA DE PRODUCTORES Y COMERCIALIZADORES DE ARROZ DE SAN MURINDO,900666306-1,ATRATO,PRODUCCION Y COMERCIALIZACION DE DE ARROZ,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",jgilcordoba8@hotmail.com,JOSE GIL CORDOBA CORDOBA,3206192240,No Reporta
"COOPERATIVA DE PRODUCTORES Y COMERCIALIZADORES DE BOROJÓ DE DOÑA JOSEFA ""COOPROJOSEFA""",9007320489,ATRATO,PRODUCCION Y COMERCIALIZACION DE BOROJO,NO MADERABLES,cooproosefa@hotmail.com,LUIS EMIRO MARTINEZ PALACIOS,"314-610-79-61
311-579-28-24
 312-893-17-12",Corregimiento Doña Josefa
DELICIAS MERAKI S.A.S,901203492,QUIBDÓ,PRODUCCIÓN Y COMERCIALIZACIÓN DE PLÁTANO,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",deliciasmeraki@hotmail.com,MARIA FERNANDA RAMIREZ,3135693571,carrera 6° # 31-10
DELIFRUTY,11805069,QUIBDÓ,"TRANSFORMACIÓN Y COMERCIALIZACIÓN DE FRUTAS NATIVAS DEL CHOCÓ BIOGEOGRÁFICO, EN DESHIDRATADOS COMO PIÑA Y PRIMITIVO, SIN CONSERVANTES, NI COLORANTES AÑADIDOS.",OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,mosluis@hotmail.com,HAIDYN LUIS MORENO MOSQUERA,3116136340,b/ obapo sector villa country
DERIVADOS LACTEOS LA FLORESTA,32544268,EL CARMEN DE ATRATO,"QUESITO, QUESO, MANTEQUILLA, QUESO DULCE","SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",jaimecorreaj1956@gmail.com - jsebastiancc88@gmail.com,GILMA CARDONA MARÍN,320 990 95 83,Vereda- la Mariela El Carmen de Atraro Chocó- Finca La Floresta.
DOÑA ANA TÍPICO CHOCOANO,1077423297-7,QUIBDÓ,SE DEDICAN A LA ELABORACIÒN Y VENTAS DE PASTELES DE ARROZ ARTESANALES Y TRADICIONALES DE LA REGIÒN,OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,dianapastel@hotmail.com,DIANA MARCELA MOSQUERA MOSQUERA,3122620946,Carrera 2 N 26-74
DULCES SONRISAS,1077464535,BAHÍA SOLANO,"PRODUCCION Y TRANSFORMACION DE FRUTAS PARA LA ELABORACION DE DULCES ARTESANALES DE PAPAYA, COCO","SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",kitachimedina@gmail.com,LINA TERESA VARGAS,3216825181,aeropuerto José Celestino Mutis (bahía solano)
DULFRUTIS,1077460763-5,QUIBDÓ,"DULFRUTIS ES UNA EMPRESA QUE SE DEDICA AL APROVECHAMIENTO DE FRUTAS (BOROJO, CHONTADURO, PIÑA, ARBOL DEL PAN Y GUANABANA) Y TUBERCULOS (YUCA Y ÑAME) PARA TRANSFORMARLOS EN DULCES Y POSTRES ARTESANALES.",OTROS BIENES Y SERVICIOS VERDES SOSTENIBLES,dulfrutis@gmail.com,ANA MILENA PALACIOS PALACIOS,3502401930,Carreraa 8 # 15 -10 barrio niño jesus
ECOMUEBLES,35547124,QUIBDÓ,ELABORACIÓN DE MUEBLES CON LLANTAS USADAS,INORGÁNICO,avjm0350@hotmail.com,ALBA VANESSA JIMENEZ,3013562645,Barrio Miraflores Carrera 5 Calle 32 # 5 -09
EL DIAMANTE- AGUACATE TIPO EXPORTACIÓN,98666247,EL CARMEN DE ATRATO,PRODUCCIÓN Y COMERCIALIZACIÓN DE AGUACATE,"SISTEMAS DE PRODUCCIÓN ECOLÓGICO, ORGÁNICO Y BIOLÓGICO",gonvaye@hotmail.com,CHRISTIAN VALDERRAMA MAYA,312 870 71 00,Calle 3ra numero 3- 27  apto 201
